epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,363.291,2.16174,4.55272,2.26169,0.01856,0.74157,0.19751,0.08087,2.02928,4.57479,2.33946,0.00035007,0.00035007,0.00035007
2,723.133,1.78018,3.42216,1.93458,0.51857,0.33708,0.43936,0.19413,1.89357,4.13531,2.11461,0.000693155,0.000693155,0.000693155
3,1081.95,1.74073,2.91533,1.85588,0.37643,0.22846,0.18679,0.07686,2.33749,4.33752,3.82772,0.00101204,0.00101204,0.00101204
4,1419.45,1.68028,2.88605,1.83504,0.4584,0.2809,0.31107,0.1192,2.11209,5.93891,2.56565,0.00130671,0.00130671,0.00130671
5,1757.51,1.63576,2.46416,1.76104,0.46418,0.36664,0.35961,0.14897,2.03269,4.08893,2.46388,0.00144696,0.00144696,0.00144696
6,2095.77,1.6166,2.33497,1.70551,0.58655,0.46816,0.47212,0.18754,2.09104,3.00957,2.36562,0.00139195,0.00139195,0.00139195
7,2430.95,1.60989,2.17618,1.71232,0.6857,0.55805,0.62163,0.30367,1.88416,2.93094,2.07202,0.00133693,0.00133693,0.00133693
8,2766.34,1.53078,1.96326,1.66189,0.66876,0.67299,0.68237,0.3263,1.7841,2.61228,2.08161,0.00128192,0.00128192,0.00128192
9,3109.46,1.52747,1.90766,1.64491,0.75607,0.62172,0.70893,0.36446,1.71027,2.66488,2.06031,0.00122691,0.00122691,0.00122691
10,3465.98,1.48191,1.86148,1.63149,0.65926,0.60869,0.66509,0.33364,1.7293,2.71822,2.08944,0.0011719,0.0011719,0.0011719
11,3822.33,1.48202,1.73902,1.58411,0.7264,0.67041,0.70731,0.36711,1.87138,2.54656,2.06891,0.00111689,0.00111689,0.00111689
12,4158.99,1.44505,1.653,1.57322,0.73159,0.70037,0.76062,0.40439,1.71716,2.14274,1.96535,0.00106188,0.00106188,0.00106188
13,4491.95,1.39603,1.53173,1.52962,0.78358,0.77295,0.80153,0.4698,1.46593,1.78902,1.68807,0.00100687,0.00100687,0.00100687
14,4825.46,1.33483,1.42028,1.47502,0.81835,0.7593,0.82698,0.46316,1.69288,1.59471,1.85774,0.000951857,0.000951857,0.000951857
15,5158.65,1.35383,1.35911,1.49612,0.82592,0.75281,0.84792,0.49016,1.48854,1.54677,1.71559,0.000896846,0.000896846,0.000896846
16,5491.46,1.33043,1.36823,1.47222,0.8339,0.77528,0.8305,0.49733,1.43765,1.37209,1.66551,0.000841835,0.000841835,0.000841835
17,5824.89,1.2926,1.29347,1.46254,0.81164,0.7585,0.83694,0.49578,1.42125,1.40367,1.65218,0.000786824,0.000786824,0.000786824
18,6158,1.27237,1.26472,1.40092,0.86042,0.78495,0.85575,0.52308,1.42482,1.28094,1.64758,0.000731813,0.000731813,0.000731813
19,6491.96,1.28023,1.18781,1.40131,0.76358,0.74157,0.78945,0.4563,1.51468,1.32109,1.70911,0.000676802,0.000676802,0.000676802
20,6825.82,1.26056,1.1661,1.40434,0.87326,0.76779,0.8703,0.49801,1.4734,1.20352,1.67854,0.000621791,0.000621791,0.000621791
21,7157.52,1.27211,1.31726,1.44364,0.8432,0.76534,0.84998,0.5068,1.5159,1.4238,1.70421,0.00056678,0.00056678,0.00056678
22,7491.46,1.15549,1.16258,1.38903,0.85883,0.77154,0.87173,0.53641,1.37904,1.29611,1.61969,0.000511769,0.000511769,0.000511769
23,7844.86,1.12783,1.13526,1.34614,0.85622,0.86983,0.89618,0.53656,1.42309,1.13912,1.65058,0.000456758,0.000456758,0.000456758
24,8195.29,1.13392,1.08217,1.36634,0.88764,0.82844,0.89456,0.55709,1.37948,1.06574,1.61867,0.000401747,0.000401747,0.000401747
25,8547.43,1.07496,1.01768,1.29922,0.92821,0.82328,0.89024,0.56155,1.38623,1.01285,1.61519,0.000346736,0.000346736,0.000346736
26,8889.6,1.0843,0.98378,1.31066,0.92584,0.82022,0.90312,0.57163,1.29394,1.02045,1.56288,0.000291725,0.000291725,0.000291725
27,9221.4,1.02134,0.95086,1.25826,0.89401,0.85019,0.90208,0.56956,1.37596,1.00871,1.62669,0.000236714,0.000236714,0.000236714
28,9553.12,1.0843,0.95162,1.32839,0.90011,0.86517,0.91249,0.5742,1.35673,0.97491,1.59548,0.000181703,0.000181703,0.000181703
29,9885.86,0.98743,0.89022,1.24422,0.90959,0.85768,0.90683,0.58722,1.3385,0.95927,1.58217,0.000126692,0.000126692,0.000126692
30,10219.5,0.99736,0.8912,1.23698,0.91263,0.85768,0.90331,0.59038,1.32265,0.93965,1.57554,7.1681e-05,7.1681e-05,7.1681e-05
