epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.48306,1.62277,5.35502,1.48441,0.00627,0.75,0.39863,0.21299,1.60168,3.56615,1.35849,6.668e-05,6.668e-05,6.668e-05
2,4.91952,1.44125,5.36969,1.42609,0.00872,0.8,0.69016,0.48531,1.17003,3.2873,1.12622,0.000145079,0.000145079,0.000145079
3,6.37132,1.29122,4.99694,1.18832,0.01697,0.85,0.77449,0.6011,0.9055,3.11315,1.01433,0.000217977,0.000217977,0.000217977
4,7.83306,1.20833,2.65196,1.12367,0.02284,0.9,0.85776,0.60793,0.94962,2.87886,0.98389,0.000285374,0.000285374,0.000285374
5,9.19475,1.16883,2.88581,1.11744,0.02332,0.85,0.84687,0.64065,0.87729,2.95617,0.96717,0.000347269,0.000347269,0.000347269
6,10.5914,1.0491,2.69803,0.97853,0.02066,0.85,0.81603,0.56684,0.94086,2.97021,0.99893,0.000403664,0.000403664,0.000403664
7,11.9403,1.0554,2.85393,1.01556,0.89936,0.8,0.83792,0.63099,1.00954,2.63466,0.98828,0.000454558,0.000454558,0.000454558
8,13.356,1.01797,2.26525,0.98541,0.35297,0.85,0.84594,0.65316,0.98257,2.56229,0.97358,0.00049995,0.00049995,0.00049995
9,14.7299,0.97619,2.40623,0.96967,0.01041,0.85,0.84583,0.68529,0.92256,2.59334,0.97379,0.000539841,0.000539841,0.000539841
10,16.2729,1.06907,2.26559,1.02504,1,0.56816,0.83149,0.63199,1.00983,2.4077,1.0068,0.000574231,0.000574231,0.000574231
11,17.6003,0.97574,2.25098,0.98698,1,0.59126,0.79905,0.56448,1.10951,2.46649,1.07106,0.000603121,0.000603121,0.000603121
12,18.957,1.01117,2.1865,1.06429,1,0.65037,0.8115,0.60887,1.06582,2.34947,1.08983,0.000626509,0.000626509,0.000626509
13,20.2591,1.00339,1.96,1.00033,1,0.71889,0.84103,0.6323,1.11555,2.06337,1.11711,0.000644396,0.000644396,0.000644396
14,21.5051,0.95543,2.12358,1.047,1,0.71889,0.84103,0.6323,1.11555,2.06337,1.11711,0.000656781,0.000656781,0.000656781
15,22.8445,0.92032,2.08224,0.99849,1,0.73457,0.8998,0.66204,1.05668,1.89675,1.08683,0.000663666,0.000663666,0.000663666
16,24.2361,0.8945,1.91343,0.96496,1,0.74457,0.87374,0.678,0.9758,1.70162,1.03122,0.00066505,0.00066505,0.00066505
17,25.5446,0.90142,2.05105,0.96471,1,0.74699,0.88689,0.6899,0.91369,1.61242,1.02762,0.000660932,0.000660932,0.000660932
18,26.8234,0.85117,2.85695,0.9372,1,0.74699,0.88689,0.6899,0.91369,1.61242,1.02762,0.000651314,0.000651314,0.000651314
19,28.1563,0.90769,2.22645,0.95601,1,0.74981,0.8865,0.69182,0.94146,1.5856,1.05335,0.000636194,0.000636194,0.000636194
20,29.4969,0.862,2.04348,0.99248,1,0.8123,0.88648,0.7161,0.88965,1.49653,1.02096,0.000615573,0.000615573,0.000615573
21,53.1082,0.87974,3.03812,0.94282,1,0.8123,0.88648,0.7161,0.88965,1.49653,1.02096,0.00056678,0.00056678,0.00056678
22,54.5766,0.85388,3.03556,1.01781,0.88422,0.76425,0.85651,0.66352,0.91656,1.58781,1.05412,0.000511769,0.000511769,0.000511769
23,56.0298,0.78267,2.84366,0.95607,1,0.83478,0.85675,0.69075,0.94339,1.5143,1.05706,0.000456758,0.000456758,0.000456758
24,57.3995,0.81738,2.79443,0.94803,1,0.83478,0.85675,0.69075,0.94339,1.5143,1.05706,0.000401747,0.000401747,0.000401747
25,58.7263,0.77433,2.71903,0.92777,1,0.84632,0.90467,0.70738,0.91983,1.36912,1.05706,0.000346736,0.000346736,0.000346736
26,60.0522,0.84962,2.81066,0.99415,1,0.84632,0.90467,0.70738,0.91983,1.36912,1.05706,0.000291725,0.000291725,0.000291725
27,61.4127,0.80571,2.71074,0.94259,1,0.84831,0.93224,0.71429,0.89476,1.24701,1.04047,0.000236714,0.000236714,0.000236714
28,62.7597,0.7647,2.55029,0.93182,1,0.84854,0.94028,0.72668,0.87848,1.16533,1.03392,0.000181703,0.000181703,0.000181703
29,64.0559,0.86444,2.71458,0.98704,1,0.84854,0.94028,0.72668,0.87848,1.16533,1.03392,0.000126692,0.000126692,0.000126692
30,65.3766,0.77845,2.63252,0.90468,0.94683,0.89076,0.94027,0.72663,0.87051,1.10981,1.02506,7.1681e-05,7.1681e-05,7.1681e-05
