epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,9.00185,1.64194,5.09965,1.03056,0.00279,0.33333,0.00248,0.00124,1.89036,5.89727,0.96719,0,0,0,0,0,0,0,0
2,17.853,1.94384,6.65765,1.14334,0.00268,0.33333,0.00242,0.00121,1.89291,5.87407,0.96831,4.83597e-05,1.61199e-05,4.83597e-05,1.61199e-05,4.83597e-05,1.61199e-05,4.83597e-05,1.61199e-05
3,26.5255,1.74353,4.81201,1.02456,0.00261,0.33333,0.0024,0.00116,1.88152,5.87841,0.96807,9.34187e-05,3.11396e-05,9.34187e-05,3.11396e-05,9.34187e-05,3.11396e-05,9.34187e-05,3.11396e-05
4,35.2115,2.04625,6.05169,1.02926,0.00253,0.33333,0.00237,0.00113,1.8759,5.89131,0.96753,0.000135177,4.5059e-05,0.000135177,4.5059e-05,0.000135177,4.5059e-05,0.000135177,4.5059e-05
5,44.002,1.90613,5.42306,1.05045,0.00246,0.33333,0.00244,0.00114,1.86405,5.90399,0.96628,0.000173635,5.78782e-05,0.000173635,5.78782e-05,0.000173635,5.78782e-05,0.000173635,5.78782e-05
6,53.1028,1.65254,6.75208,1.06338,0.00481,0.66667,0.00753,0.00294,1.78626,6.02049,0.92526,0.000208792,6.95973e-05,0.000208792,6.95973e-05,0.000208792,6.95973e-05,0.000208792,6.95973e-05
7,62.0191,2.04996,9.67019,1.40424,0.00711,1,0.01194,0.00262,1.87814,5.85258,0.95247,0.000240648,8.0216e-05,0.000240648,8.0216e-05,0.000240648,8.0216e-05,0.000240648,8.0216e-05
8,70.7889,1.5002,6.34724,1.05676,0.00464,0.66667,0.00608,0.00185,1.84436,5.93811,0.95823,0.000269204,8.97346e-05,0.000269204,8.97346e-05,0.000269204,8.97346e-05,0.000269204,8.97346e-05
9,79.5887,1.53526,5.61297,1.00453,0.00458,0.66667,0.00613,0.00224,1.82249,5.95516,0.95535,0.000294459,9.8153e-05,0.000294459,9.8153e-05,0.000294459,9.8153e-05,0.000294459,9.8153e-05
10,88.3647,1.51239,10.8736,0.89171,0.0067,1,0.01185,0.00316,1.84118,5.85553,0.94662,0.000316413,0.000105471,0.000316413,0.000105471,0.000316413,0.000105471,0.000316413,0.000105471
