step_dist,reading
5000,10.00
6000,11.00
7000,11.00
8000,12.00
9000,12.00
10000,12.00
11000,15.00
12000,15.00
13000,17.00
14000,17.00
15000,16.00
16000,18.00
17000,21.00
18000,20.00
19000,19.00
20000,22.00
21000,22.00
22000,24.00
23000,25.00
24000,24.00
25000,23.00
26000,18.00
27000,19.00
28000,26.00
29000,26.00
30000,26.00
31000,25.00
32000,24.00
33000,29.00
34000,28.00
35000,27.00
36000,25.00
37000,30.00
38000,28.00
39000,33.00
40000,30.00
41000,33.00
42000,32.00
43000,32.00
44000,33.00
45000,34.00
46000,34.00
47000,37.00
48000,36.00
49000,38.00
50000,40.00
51000,38.00
52000,39.00
53000,39.00
54000,41.00
55000,43.50
56000,41.00
57000,43.00
58000,46.00
59000,47.00
60000,48.00
61000,51.00
62000,52.00
63000,53.00
64000,54.00
65000,54.00
66000,56.00
67000,56.00
68000,56.00
69000,55.00
70000,58.00
71000,57.00
72000,59.00
73000,61.00
74000,60.50
75000,64.00
76000,64.00
77000,63.00
78000,66.00
79000,67.00
80000,65.00
81000,66.00
82000,68.00
83000,70.00
84000,68.00
85000,71.00
86000,72.00
87000,72.00
88000,72.00
89000,74.00
90000,74.00
91000,75.00
92000,74.00
93000,76.00
94000,75.00
95000,79.00
96000,77.00
97000,84.00
98000,81.00
99000,80.00
100000,87.00
101000,85.00
102000,86.00
103000,89.00
104000,87.00
105000,90.00
106000,90.00
107000,90.00
108000,92.00
109000,94.00
110000,94.00
111000,96.00
112000,98.00
113000,98.00
114000,100.00
115000,100.00
116000,101.00
117000,102.00
118000,103.00
119000,104.00
120000,105.00
121000,105.00
122000,105.00
123000,106.00
124000,107.00
125000,107.00
126000,108.00
127000,109.00
128000,109.00
129000,111.00
